city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Chisinau,47.0,28.75,0.0005617919,1.0596382e-05,0.0,0.0002823512,272.03687,282.9752,293.93765,282.77255,276.82504,266.41125,292.22534,271.13724,297.4126,291.66296,293.0265,270.72064,0.0010399572,0.0021458592,0.0020345617,0.0012883116,3.1880803,3.1218722,2.762673,3.1295762
Chisinau,47.0,28.75,0.0005617919,1.0596382e-05,0.0,0.0002823512,272.03687,282.9752,293.93765,282.77255,276.82504,266.41125,292.22534,271.13724,297.4126,291.66296,293.0265,270.72064,0.0010399572,0.0021458592,0.0020345617,0.0012883116,3.1880803,3.1218722,2.762673,3.1295762
Vaduz,47.25,9.5,0.002561013,0.00090539455,0.00010475759,0.0019757606,270.70154,278.87753,287.79117,279.57523,275.0388,267.91226,285.04385,272.08777,290.99393,284.56415,287.0903,271.13974,0.0038464935,0.005908104,0.005891602,0.0043310234,1.6568186,1.5682601,1.4037644,1.4813248
Vaduz,47.25,9.5,0.002561013,0.00090539455,0.00010475759,0.0019757606,270.70154,278.87753,287.79117,279.57523,275.0388,267.91226,285.04385,272.08777,290.99393,284.56415,287.0903,271.13974,0.0038464935,0.005908104,0.005891602,0.0043310234,1.6568186,1.5682601,1.4037644,1.4813248
Budapest,47.5,19.0,0.0003405165,1.0470991e-05,0.0,0.00036493054,273.37006,283.81586,293.55942,283.23074,278.4031,269.55057,291.86633,274.84665,297.98465,291.25287,291.77933,274.1651,0.0010403562,0.0022128918,0.0019457217,0.0018647228,2.927651,3.0882452,2.686512,2.9252908
Budapest,47.5,19.0,0.0003405165,1.0470991e-05,0.0,0.00036493054,273.37006,283.81586,293.55942,283.23074,278.4031,269.55057,291.86633,274.84665,297.98465,291.25287,291.77933,274.1651,0.0010403562,0.0022128918,0.0019457217,0.0018647228,2.927651,3.0882452,2.686512,2.9252908
Vienna,48.25,16.25,0.0004892985,8.717113e-05,0.0,0.00037787756,273.52505,282.92294,292.30914,282.54016,278.2809,269.32184,289.90607,274.53848,297.10596,289.69003,290.1999,274.09674,0.0013151558,0.0024970232,0.002628821,0.001729167,3.5272026,3.5204566,3.088673,3.3612301
Vienna,48.25,16.25,0.0004892985,8.717113e-05,0.0,0.00037787756,273.52505,282.92294,292.30914,282.54016,278.2809,269.32184,289.90607,274.53848,297.10596,289.69003,290.1999,274.09674,0.0013151558,0.0024970232,0.002628821,0.001729167,3.5272026,3.5204566,3.088673,3.3612301
Bratislava,48.25,17.0,0.0003800463,3.883044e-05,0.0,0.00034744825,273.67905,283.5279,293.1231,283.10498,278.3643,268.95203,290.81512,275.15894,297.83426,290.4969,291.0317,274.33414,0.0011944382,0.0023690471,0.0023272973,0.0017223464,3.5162396,3.5403266,3.101097,3.436834
Bratislava,48.25,17.0,0.0003800463,3.883044e-05,0.0,0.00034744825,273.67905,283.5279,293.1231,283.10498,278.3643,268.95203,290.81512,275.15894,297.83426,290.4969,291.0317,274.33414,0.0011944382,0.0023690471,0.0023272973,0.0017223464,3.5162396,3.5403266,3.101097,3.436834
Paris,48.75,2.25,8.366373e-05,2.5678564e-06,0.0,7.400336e-05,277.60394,283.64142,291.45285,284.15073,281.8808,273.16064,288.7638,278.82928,295.32916,287.0924,290.8069,276.23563,0.0016497894,0.0020532184,0.0018625966,0.0020819523,4.202802,3.6590776,3.232175,3.7018995
Paris,48.75,2.25,8.366373e-05,2.5678564e-06,0.0,7.400336e-05,277.60394,283.64142,291.45285,284.15073,281.8808,273.16064,288.7638,278.82928,295.32916,287.0924,290.8069,276.23563,0.0016497894,0.0020532184,0.0018625966,0.0020819523,4.202802,3.6590776,3.232175,3.7018995
Saint Helier,49.25,-2.0,3.3957873e-05,3.1789146e-08,0.0,1.2210564e-05,281.13474,283.30273,289.1413,286.60934,283.6801,277.6947,286.74554,280.36987,291.7229,286.039,290.27975,281.4813,0.0027069938,0.0020061422,0.0021279159,0.004044045,8.190733,6.510656,5.5929255,7.268344
Saint Helier,49.25,-2.0,3.3957873e-05,3.1789146e-08,0.0,1.2210564e-05,281.13474,283.30273,289.1413,286.60934,283.6801,277.6947,286.74554,280.36987,291.7229,286.039,290.27975,281.4813,0.0027069938,0.0020061422,0.0021279159,0.004044045,8.190733,6.510656,5.5929255,7.268344
Saint Peter Port,49.5,-2.5,4.291711e-05,1.5894573e-08,0.0,1.3725847e-05,281.87347,283.20148,288.46317,286.839,284.33484,278.61316,286.12946,280.64395,290.9614,285.58023,290.00546,282.54877,0.0026618992,0.0017495897,0.0018484752,0.0039162035,9.336334,7.2491045,6.004185,8.156056
Saint Peter Port,49.5,-2.5,4.291711e-05,1.5894573e-08,0.0,1.3725847e-05,281.87347,283.20148,288.46317,286.839,284.33484,278.61316,286.12946,280.64395,290.9614,285.58023,290.00546,282.54877,0.0026618992,0.0017495897,0.0018484752,0.0039162035,9.336334,7.2491045,6.004185,8.156056
Luxembourg,49.5,6.0,0.00025247468,1.989029e-05,0.0,0.00022834053,275.34012,282.35416,290.5179,282.30768,279.6347,270.42496,287.72986,276.21362,294.85156,286.03055,289.9679,274.34607,0.0022196486,0.0022866072,0.0021934225,0.002810849,4.179934,3.6185846,3.2007048,3.6524339
Luxembourg,49.5,6.0,0.00025247468,1.989029e-05,0.0,0.00022834053,275.34012,282.35416,290.5179,282.30768,279.6347,270.42496,287.72986,276.21362,294.85156,286.03055,289.9679,274.34607,0.0022196486,0.0022866072,0.0021934225,0.002810849,4.179934,3.6185846,3.2007048,3.6524339
Prague,50.0,14.5,0.00042678337,4.5103498e-05,0.0,0.0003068721,273.41916,281.82742,290.95282,281.58258,277.93787,268.39175,289.0354,273.46252,295.32986,287.75363,290.4182,273.28055,0.0013248196,0.0022521478,0.0022323255,0.0015530586,3.64504,3.259375,2.7645762,3.20231
Prague,50.0,14.5,0.00042678337,4.5103498e-05,0.0,0.0003068721,273.41916,281.82742,290.95282,281.58258,277.93787,268.39175,289.0354,273.46252,295.32986,287.75363,290.4182,273.28055,0.0013248196,0.0022521478,0.0022323255,0.0015530586,3.64504,3.259375,2.7645762,3.20231
Kyiv,50.5,30.5,0.0007147118,4.7777317e-05,2.746229e-07,0.00053368235,270.27454,281.4268,292.10355,280.42154,275.58328,262.9312,291.4519,269.8701,295.5148,289.24402,290.6526,267.2122,0.0013096032,0.0023526861,0.0027042106,0.0016358835,3.9900806,3.582195,3.1289318,3.7081378
Kyiv,50.5,30.5,0.0007147118,4.7777317e-05,2.746229e-07,0.00053368235,270.27454,281.4268,292.10355,280.42154,275.58328,262.9312,291.4519,269.8701,295.5148,289.24402,290.6526,267.2122,0.0013096032,0.0023526861,0.0027042106,0.0016358835,3.9900806,3.582195,3.1289318,3.7081378
Brussels,50.75,4.25,0.00010889371,1.9938857e-06,0.0,7.4941134e-05,277.01642,283.04834,290.44888,283.57346,281.04095,272.67258,288.21057,276.93713,294.40625,286.23627,290.6999,275.87213,0.0019876552,0.002235794,0.0021805093,0.002300234,4.708449,3.887615,3.4291198,4.060397
Brussels,50.75,4.25,0.00010889371,1.9938857e-06,0.0,7.4941134e-05,277.01642,283.04834,290.44888,283.57346,281.04095,272.67258,288.21057,276.93713,294.40625,286.23627,290.6999,275.87213,0.0019876552,0.002235794,0.0021805093,0.002300234,4.708449,3.887615,3.4291198,4.060397
London,51.5,-0.0,6.827425e-05,9.14291e-06,0.0,4.7323436e-05,278.1353,282.51346,289.62384,283.87564,280.93225,274.60663,287.01196,277.47925,293.00168,285.4535,289.42993,277.97934,0.0015487918,0.0018278687,0.0018724725,0.0018965227,4.874161,4.2541823,3.7273195,4.1771555
