city,latitude,longitude,max_t2m_winter,min_t2m_winter,temp_range_winter,max_t2m_spring,min_t2m_spring,temp_range_spring,max_t2m_summer,min_t2m_summer,temp_range_summer,max_t2m_autumn,min_t2m_autumn,temp_range_autumn,hot_days,hot_days_consec
Constanţa,44.183331,28.65,278.95532,274.65265,4.3026733,287.07468,281.57126,5.503418,299.23196,293.0194,6.212555,290.1368,284.93103,5.20578,5.612903225806452,3.3548387096774195
Copenhagen,55.675941,12.56553,276.62857,273.48236,3.1462097,283.14688,277.23514,5.911743,292.88235,286.5467,6.335663,285.27078,281.11124,4.159546,0.0,0.0
Cork,51.897968,-8.47061,281.88406,278.283,3.6010742,284.5071,279.9101,4.5970154,290.18167,285.5578,4.623871,286.5903,282.6165,3.973816,0.0,0.0
Coventry,52.406559,-1.51217,280.46185,275.7799,4.681946,285.91867,278.5343,7.384369,293.32404,285.29352,8.030518,287.1401,280.9997,6.1404114,0.7419354838709677,0.4838709677419355
Córdoba,37.883331,-4.76667,287.885,278.5172,9.367798,295.2293,283.8729,11.356415,307.1224,292.982,14.140411,297.10794,286.47046,10.637482,104.48387096774194,50.806451612903224
Debrecen,47.533329,21.633329,277.13242,271.6613,5.4711304,290.34073,280.04364,10.297089,301.05807,289.51907,11.539001,289.72882,280.61984,9.108978,35.225806451612904,10.096774193548388
Derby,52.922771,-1.47663,280.1071,275.59125,4.5158386,285.4868,278.2795,7.2072754,292.73712,284.98746,7.7496643,286.67032,280.77652,5.893799,0.45161290322580644,0.3548387096774194
Dijon,47.316669,5.01667,279.3327,274.11856,5.214142,288.4763,279.18192,9.294373,297.83615,287.20206,10.634094,288.59335,280.87122,7.7221375,13.387096774193548,4.645161290322581
Donostia / San Sebastián,43.312832,-1.97499,284.16733,280.42432,3.7430115,287.77893,283.24924,4.5296936,294.5689,289.97452,4.594391,290.74905,286.44116,4.307892,0.5483870967741935,0.45161290322580644
Dortmund,51.514938,7.466,278.25064,273.98572,4.264923,286.68524,278.57986,8.105377,295.17438,286.28583,8.88855,286.86392,280.64474,6.2191772,5.612903225806452,2.7096774193548385
Dresden,51.050892,13.73832,276.31485,271.78732,4.527527,286.21133,277.64676,8.564575,295.86395,286.29837,9.565582,285.94373,279.35718,6.586548,5.774193548387097,2.3870967741935485
Dublin,53.333061,-6.24889,281.21228,277.34335,3.868927,284.488,279.34854,5.1394653,290.46237,285.2651,5.1972656,286.39056,281.94925,4.4413147,0.0,0.0
Duisburg,51.432468,6.76516,279.10382,274.77902,4.3247986,287.40515,279.2128,8.192352,295.79224,286.9342,8.858032,287.59497,281.27026,6.324707,7.064516129032258,3.193548387096774
Düsseldorf,51.221722,6.77616,279.13916,274.77084,4.3683167,287.43106,279.2488,8.182251,295.83603,286.9896,8.846436,287.63156,281.30057,6.3309937,7.064516129032258,3.193548387096774
Eastbourne,50.768711,0.28453,281.48114,278.70822,2.7729187,284.3218,280.94162,3.380188,290.984,287.5853,3.3987122,287.78665,284.67538,3.111267,0.0,0.0
Edinburgh,55.952061,-3.19648,279.62344,275.67712,3.9463196,283.86642,278.01346,5.8529663,290.27094,284.2125,6.058441,285.44086,280.5007,4.940155,0.0,0.0
Eindhoven,51.44083,5.47778,279.47153,275.10165,4.369873,287.4718,279.19626,8.275543,295.5949,286.68277,8.91214,287.82028,281.37915,6.4411316,6.451612903225806,2.935483870967742
Elche,38.26218,-0.70107,289.0488,280.67206,8.3767395,294.05453,285.05652,8.998016,303.08286,294.0269,9.055969,296.46057,288.28534,8.175232,53.645161290322584,20.580645161290324
Erfurt,50.978699,11.03283,276.35733,271.85522,4.5021057,285.69708,277.12473,8.572357,295.24088,285.55084,9.690033,285.80957,279.02374,6.7858276,5.193548387096774,2.2580645161290325
Espoo,60.2052,24.652201,271.6977,267.80087,3.89682,279.61273,273.43756,6.175171,291.9759,285.78677,6.1891174,282.10794,278.065,4.042938,0.0,0.0
Essen,51.45657,7.01228,278.82773,274.52634,4.3013916,287.18463,279.0094,8.175232,295.58356,286.71503,8.86853,287.34055,281.05783,6.282715,6.612903225806452,2.806451612903226
Ferrara,44.826778,11.62071,282.22095,275.2198,7.0011597,292.3654,283.09927,9.266113,303.4013,293.38104,10.020264,292.89792,285.03412,7.8638,56.32258064516129,17.483870967741936
Firenze,43.76667,11.25,281.66882,275.0996,6.569214,289.65588,280.6715,8.984375,300.4061,290.06418,10.341919,291.21475,283.24243,7.9723206,21.06451612903226,8.548387096774194
Frankfurt am Main,50.11552,8.68417,277.7198,273.31296,4.40683,287.29175,278.676,8.615753,296.57562,286.92764,9.64798,286.9236,280.24338,6.680237,8.483870967741936,3.5483870967741935
Freiburg,47.995899,7.85222,277.60306,272.50348,5.099579,287.10812,278.28256,8.825562,296.38315,286.72632,9.65683,286.91577,279.84225,7.073517,7.935483870967742,3.5806451612903225
Gdańsk,54.352051,18.64637,275.36414,271.9719,3.3922424,283.38144,277.01883,6.36261,293.6645,286.91663,6.747864,285.2043,280.33694,4.8673706,0.25806451612903225,0.22580645161290322
Gdynia,54.51889,18.531879,275.41385,272.0637,3.3501587,283.1292,276.94635,6.1828613,293.4033,286.85843,6.544861,285.12994,280.39908,4.7308655,0.1935483870967742,0.16129032258064516
Gelsenkirchen,51.5075,7.12283,278.67093,274.39078,4.2801514,287.0469,278.90253,8.144379,295.46387,286.60522,8.858643,287.20798,280.9529,6.255066,6.258064516129032,2.774193548387097
Gent,51.049999,3.71667,279.9329,275.66797,4.264923,287.0909,279.55954,7.531372,294.90524,286.76,8.145233,287.9642,281.9277,6.036499,3.4193548387096775,1.935483870967742
