city,latitude,longitude,hot_days,hot_days_consec,tp_winter,tp_spring,tp_summer,tp_autumn,sf_winter,sf_spring,sf_summer,sf_autumn,si10_winter,si10_spring,si10_summer,si10_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,max_t2m_spring,max_t2m_summer,max_t2m_autumn,min_t2m_winter,min_t2m_spring,min_t2m_summer,min_t2m_autumn,temp_range_winter,temp_range_spring,temp_range_summer,temp_range_autumn
Budapest,47.498009,19.039909,46.53333333333333,14.566666666666666,0.0011832312,0.0016916938,0.0019966462,0.0016268155,0.00030415755,5.364611e-05,1.1040178e-08,4.849245e-05,2.8257995,2.812301,2.6105564,2.6665978,274.66953,284.88287,295.69058,285.63086,278.13806,290.56253,302.29672,291.0459,271.0993,278.9539,288.7118,280.57413,7.0387573,11.608643,13.58493,10.471771
Burgos,42.349998,-3.7,36.3,12.833333333333334,0.0020443795,0.0019668834,0.0009743909,0.0016246638,0.00042469832,0.000121082274,8.389425e-08,6.243002e-05,3.1054947,3.1514254,2.6420836,2.7773795,277.48346,282.96414,292.74197,286.0529,281.61462,288.6429,300.4452,292.13925,273.60712,277.38217,285.57578,280.58838,8.007507,11.260742,14.869415,11.550873
Bydgoszcz,53.123501,18.00762,12.133333333333333,4.5,0.001581425,0.001451577,0.0022638105,0.0014557607,0.00050020753,0.0001022209,1.2602737e-08,7.87784e-05,3.8723361,3.2869978,3.116305,3.5328546,275.21985,282.8153,292.6651,283.92224,277.3457,287.16153,297.63724,287.54404,272.91623,278.0853,287.28284,280.32965,4.429474,9.076233,10.354401,7.214386
Cagliari,39.207378,9.13462,61.3,31.966666666666665,0.002511358,0.0015208294,0.0002406,0.0021503768,1.859668e-05,2.2036079e-07,3.5525652e-10,6.533318e-08,3.274233,3.3061812,2.731093,2.7739305,283.91733,287.89597,298.41074,292.73212,287.7284,292.3076,303.4691,296.95233,280.5437,283.791,293.5097,289.05066,7.1846924,8.516602,9.959381,7.9016724
Cambridge,52.200001,0.11667,4.166666666666667,2.533333333333333,0.00170282,0.0016554341,0.0017848935,0.0017546908,0.00010830734,2.816368e-05,7.308786e-09,7.88325e-06,5.0333843,4.5117674,3.7506187,4.4104595,278.15527,282.67593,290.70193,285.06247,280.99783,287.0433,295.87323,288.83453,275.22696,278.29852,285.47913,281.33304,5.770874,8.7447815,10.394104,7.5014954
Cardiff,51.48,-3.18,1.2333333333333334,1.0666666666666667,0.003465865,0.0028406319,0.0022257126,0.0034044671,0.00019120771,7.721812e-05,4.1698986e-09,1.4438283e-05,4.8309383,4.457947,3.731446,4.2473135,278.51785,282.34665,290.2155,284.91977,281.19458,286.28476,294.69485,288.28375,275.66678,278.30832,285.56412,281.50015,5.5278015,7.9764404,9.130737,6.7836
Cartagena,37.605122,-0.98623,38.0,19.133333333333333,0.0010897914,0.000629185,0.00021711967,0.0012840127,1.3184116e-06,6.5964207e-07,8.7995466e-10,3.1090696e-07,4.05847,4.153298,3.6616962,3.877582,285.85022,289.7124,298.64163,293.78458,289.37338,293.19763,301.90668,297.1421,282.94885,286.18704,295.24503,290.856,6.42453,7.0105896,6.6616516,6.2861023
Catania,37.502129,15.08719,55.06666666666667,25.7,0.0023846873,0.0009908709,0.0002469712,0.0019173484,6.231532e-05,1.0742681e-05,4.6638504e-10,2.8600348e-07,2.3508883,2.2845755,1.6693585,1.778588,284.23102,288.3012,299.30777,293.19427,286.8774,291.56732,303.10434,296.25247,281.85187,285.176,295.44815,290.5469,5.025543,6.391327,7.656189,5.7055664
Chemnitz,50.833328,12.91667,19.1,5.933333333333334,0.002155106,0.0021845964,0.0029906824,0.0020755157,0.00068202714,0.00019727276,1.9615253e-08,8.871538e-05,3.9906933,3.2371848,2.902973,3.400915,275.1181,283.05844,293.0471,284.26498,277.55566,287.81473,298.60217,288.35754,272.6501,278.2338,287.34393,280.452,4.9055786,9.580933,11.25824,7.905548
Chişinău,47.005562,28.8575,45.666666666666664,16.366666666666667,0.0013086846,0.0016365054,0.0018506072,0.001435132,0.000674324,0.0001840196,8.751466e-09,0.000118957934,3.2230723,3.0861282,2.7787712,2.9986136,273.4953,284.36368,296.82272,285.505,276.02078,288.9017,302.17093,289.86023,270.69907,279.64368,291.14542,281.2352,5.3217163,9.258026,11.025513,8.6250305
Clermont-Ferrand,45.779659,3.08628,22.533333333333335,7.1,0.0021968526,0.0026355004,0.0025553843,0.0026055886,0.0003060242,0.00014405967,2.8792778e-08,5.590305e-05,3.0396948,3.0331702,2.3270812,2.7588484,275.97833,282.38074,292.3265,284.85736,279.91312,287.87445,298.74222,290.09067,272.38715,276.94824,285.8469,280.1904,7.5259705,10.9262085,12.895325,9.900269
Cluj-Napoca,46.76667,23.6,22.666666666666668,9.233333333333333,0.0014615505,0.0023494351,0.0026726495,0.001776738,0.00074263697,0.00024453533,9.238117e-08,0.00014731546,1.9917663,2.1476226,1.8855212,1.9011478,272.1891,282.62552,293.2336,283.68625,275.83823,287.97968,299.42072,289.31052,268.4025,277.0739,286.82132,278.62833,7.43573,10.905762,12.599396,10.68219
Coimbra,40.205639,-8.41955,55.8,18.466666666666665,0.003340918,0.0020165343,0.00065403926,0.0024112693,6.2997316e-07,2.1226894e-07,2.9063527e-09,8.185228e-09,3.2122922,3.374317,3.2114108,2.803599,284.226,288.2758,295.56656,291.1567,288.87213,293.9107,302.42978,296.9913,280.3148,283.06558,289.42615,286.52512,8.557343,10.845123,13.003632,10.466187
Como,45.809978,9.08744,3.8333333333333335,2.4,0.002563928,0.0044004493,0.00479258,0.005140121,0.0013534193,0.0011001778,4.2436e-05,0.00059399725,1.3802218,1.378878,1.2641858,1.2097822,274.34198,281.56482,292.27023,283.66602,277.6887,285.81097,297.0488,287.43448,271.36584,277.28928,287.48737,280.2431,6.3228455,8.521698,9.561432,7.1913757
