city,latitude,longitude,sf_winter,sf_spring,sf_summer,sf_autumn,t2m_winter,t2m_spring,t2m_summer,t2m_autumn,max_t2m_winter,min_t2m_winter,max_t2m_spring,min_t2m_spring,max_t2m_summer,min_t2m_summer,max_t2m_autumn,min_t2m_autumn,tp_winter,tp_spring,tp_summer,tp_autumn,si10_winter,si10_spring,si10_summer,si10_autumn
Avignon,43.948341,4.80892,0.00012438596,9.0872245e-06,0.0,5.7255227e-05,279.93277,285.36295,294.87094,286.99768,282.15277,277.2152,290.5658,279.4091,297.50134,291.5481,293.58862,280.66766,0.0027869681,0.002419005,0.0018803795,0.0028686523,3.9689448,3.8258872,3.5852377,3.7453256
Rimini,44.063332,12.58083,0.00015232762,1.0251006e-05,0.0,9.982188e-05,280.55923,285.63998,295.4452,288.03796,282.48862,277.8167,290.53308,279.99734,298.35583,293.13452,294.4768,281.62576,0.0025850574,0.0020659864,0.0026986122,0.0026055912,3.6618307,3.55282,3.1548305,3.4835432
La Spezia,44.110538,9.84339,0.0005133748,2.7689834e-05,0.0,0.00021045606,280.20172,284.38333,293.15045,287.11758,281.91306,277.63446,288.62097,279.3417,296.05225,290.4319,292.78345,282.31863,0.004924967,0.0034872333,0.0032986044,0.0047677974,3.3467417,2.9822152,2.3980205,2.8634067
Constanţa,44.183331,28.65,0.00033963125,3.7252903e-08,0.0,9.225706e-05,276.35657,283.76596,294.503,286.39996,279.6677,272.7796,289.9701,276.94293,296.70593,292.16492,293.32202,279.47034,0.001445651,0.0018538653,0.0017598192,0.0014311612,5.2564282,4.3579636,4.0798917,4.7047863
Ravenna,44.4175,12.20111,0.00014955335,8.903609e-06,0.0,0.000103380946,279.68054,285.82663,295.93625,287.6349,282.17,276.43857,291.0494,279.9224,298.89786,293.4269,294.71548,280.408,0.0025047276,0.0021732755,0.0028608004,0.002553333,2.9718604,3.0834022,2.7995899,2.8874447
Bucharest,44.432251,26.10626,0.000668938,4.986425e-06,0.0,0.0001690497,273.70596,284.80545,294.52582,284.65396,279.0405,270.41632,291.26184,276.5526,296.25208,291.93518,293.50146,276.70908,0.0014676909,0.00286027,0.0024688998,0.0013966918,2.8891168,2.8880806,2.4100535,2.709897
Bologna,44.493809,11.33875,0.00040094455,1.9148323e-05,0.0,0.00027939345,277.86884,285.22467,295.46173,286.30585,281.22812,273.46558,290.51602,278.82614,298.84366,292.68033,294.12027,278.36273,0.0028484105,0.002539579,0.0030798384,0.002645898,2.0252967,2.3348236,2.0728428,2.0022318
Modena,44.647831,10.92539,0.0006658107,3.6411486e-05,0.0,0.00035334725,277.07727,284.5838,294.58823,285.58218,280.456,272.57916,289.9176,278.19547,297.79382,292.04614,293.07886,277.78873,0.0032283564,0.003006808,0.0033726017,0.0028624039,1.8803914,2.1334558,1.8641266,1.8384864
Parma,44.802662,10.32898,0.0005997678,1.6427537e-05,0.0,0.00027008256,277.05768,284.92084,294.7837,285.70538,280.71783,272.4417,290.2251,278.66397,297.76782,292.31433,293.1383,277.73,0.003280165,0.003049346,0.0033372482,0.0028353154,1.8089776,2.0861442,1.8132838,1.7845798
Belgrade,44.804008,20.46513,0.00043405825,9.563234e-07,0.0,0.0001942714,275.3889,285.4018,294.16492,284.69876,280.51788,272.25632,292.34677,276.95914,296.4756,291.43375,292.7191,275.31082,0.0015283929,0.0025645944,0.0021194618,0.0016925574,3.1946092,3.0101194,2.5127575,2.7987528
Ferrara,44.826778,11.62071,0.00013358593,2.0037094e-06,0.0,9.7163516e-05,278.20682,286.08347,296.15652,286.89417,281.92963,273.99115,291.54065,279.8654,299.25012,293.4203,294.5658,278.65787,0.0025761386,0.0026491184,0.0030623276,0.0024917226,2.2845664,2.4599738,2.171349,2.1845298
